kecamatan,kabupaten,provinsi,kecepatan_final,kategori_v2,indeks_kesenjangan_final,populasi_worldpop,alasan_urgensi,GID_3,kota_terdekat,jarak_kota_km,rata_rata_provinsi,persen_dibawah_provinsi,kecepatan_min,kecepatan_max,alasan_model,tetangga_baik_nama,tetangga_baik_kecepatan,tetangga_baik_jarak_km
Yaru,Maluku Tenggara Barat,Maluku,3246.2916666666665,Cukup,0.7223054186978707,177.81036376953125,Populasi sangat jarang (lebih sepi dari 98% kecamatan indonesia) dan aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 98% kecamatan lain) — memengaruhi sekitar 178 jiwa penduduk kecamatan ini.,IDN.19.7.9_1,Jayapura,1095,20715.0,84,0,6721,Model menyimpulkan populasi rendah adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Kormomolin,31566,79
Firiwage,Boven Digoel,Papua,3268.555555555555,Cukup,0.7221058841665652,616.0899047851562,Akses jalan sangat minim (lebih sedikit dari 99% kecamatan lain) dan populasi sangat jarang (lebih sepi dari 97% kecamatan indonesia) — memengaruhi sekitar 616 jiwa penduduk kecamatan ini.,IDN.23.3.4_1,Jayapura,320,24331.0,87,0,6744,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Awinbon,72847,38
Batulanteh,Sumbawa,Nusa Tenggara Barat,3294.922916666667,Cukup,0.7218695732926057,2919.450927734375,Populasi sangat jarang (lebih sepi dari 91% kecamatan indonesia) dan medan pegunungan tinggi (lebih tinggi dari 88% kecamatan lain) — memengaruhi sekitar 2.919 jiwa penduduk kecamatan ini.,IDN.20.10.3_1,Denpasar,221,27179.0,88,0,6770,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Buer,42863,20
Kepala Madan,Buru Selatan,Maluku,3317.663888888889,Cukup,0.7216657630213437,37518.15234375,Aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 91% kecamatan lain) dan medan pegunungan tinggi (lebih tinggi dari 84% kecamatan lain) — memengaruhi sekitar 37.518 jiwa penduduk kecamatan ini.,IDN.19.2.2_1,Manado,556,20715.0,84,0,6793,Model menyimpulkan akses jalan minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Air Buaya,24639,36
Pp. Babar,Maluku Barat Daya,Maluku,3367.7944444444443,Cukup,0.7212164804653274,16263.09765625,Aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 98% kecamatan lain) dan akses jalan sangat minim (lebih sedikit dari 72% kecamatan lain) — memengaruhi sekitar 16.263 jiwa penduduk kecamatan ini.,IDN.19.5.6_1,Manado,1166,20715.0,84,0,6843,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Selaru,31999,152
Ninati,Boven Digoel,Papua,3375.6666666666665,Cukup,0.7211459276441521,0.0,Populasi sangat jarang (lebih sepi dari 99% kecamatan indonesia) dan akses jalan sangat minim (lebih sedikit dari 93% kecamatan lain) — memengaruhi sekitar 0 jiwa penduduk kecamatan ini.,IDN.23.3.16_1,Jayapura,352,24331.0,86,0,6851,Model menyimpulkan populasi rendah adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Tarup,44470,56
Aru Selatan,Kepulauan Aru,Maluku,3397.763970588235,Cukup,0.7209478860889184,65644.921875,Aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 84% kecamatan lain) — memengaruhi sekitar 65.645 jiwa penduduk kecamatan ini.,IDN.19.4.2_1,Jayapura,849,20715.0,84,0,6873,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Aru Tengah,25497,46
Bolakme,Jayawijaya,Papua,3424.563333333333,Cukup,0.7207077035084484,3410.224609375,Medan pegunungan tinggi (lebih tinggi dari 99% kecamatan lain) dan populasi sangat jarang (lebih sepi dari 90% kecamatan indonesia) — memengaruhi sekitar 3.410 jiwa penduduk kecamatan ini.,IDN.23.8.3_1,Jayapura,266,24331.0,86,0,6900,Model menyimpulkan aktivitas ekonomi minim adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Makki,35822,18
Yaniruma,Boven Digoel,Papua,3442.152777777778,Cukup,0.7205500625154188,0.0,Populasi sangat jarang (lebih sepi dari 99% kecamatan indonesia) dan akses jalan sangat minim (lebih sedikit dari 95% kecamatan lain) — memengaruhi sekitar 0 jiwa penduduk kecamatan ini.,IDN.23.3.20_1,Jayapura,329,24331.0,86,0,6917,Model menyimpulkan populasi rendah adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Awinbon,72847,63
Ngguti,Merauke,Papua,3444.5,Cukup,0.7205290261237839,0.0,Populasi sangat jarang (lebih sepi dari 99% kecamatan indonesia) dan aktivitas ekonomi dan kelistrikan minim (cahaya malam lebih redup dari 94% kecamatan lain) — memengaruhi sekitar 0 jiwa penduduk kecamatan ini.,IDN.23.16.12_1,Jayapura,578,24331.0,86,0,6920,Model menyimpulkan populasi rendah adalah faktor paling berpengaruh menekan kecepatan di kecamatan ini.,Okaba,35608,48
