GID_3,populasi
IDN.3.2.3_1,37017
IDN.3.2.4_1,5640
IDN.3.2.5_1,48476
IDN.3.2.6_1,66642
IDN.3.2.7_1,15603
IDN.3.3.1_1,76756
IDN.3.3.2_1,52111
IDN.3.3.3_1,22485
IDN.3.3.4_1,71543
IDN.3.3.5_1,38264
IDN.3.3.6_1,56695
IDN.3.6.1_1,20301
IDN.3.6.2_1,52300
IDN.3.6.3_1,3021
IDN.3.6.4_1,37970
IDN.3.6.5_1,84399
IDN.3.5.1_1,10664
IDN.3.5.2_1,10619
IDN.3.5.3_1,32710
IDN.3.5.4_1,23205
IDN.3.5.5_1,31959
IDN.3.5.6_1,14268
IDN.3.5.7_1,13994
IDN.3.7.1_1,91372
IDN.3.7.2_1,40320
IDN.3.7.3_1,61921
IDN.3.7.4_1,34765
IDN.3.7.5_1,13381
IDN.4.1.1_1,61401
IDN.4.1.2_1,30992
IDN.4.1.3_1,86009
IDN.4.1.4_1,99188
IDN.4.1.5_1,52332
IDN.4.1.6_1,42840
IDN.4.1.7_1,37169
IDN.4.1.8_1,51546
IDN.4.2.1_1,108963
IDN.4.2.2_1,55743
IDN.4.2.3_1,107579
IDN.4.2.4_1,220350
IDN.4.2.5_1,111540
IDN.4.2.6_1,72240
IDN.4.3.1_1,132085
IDN.4.3.2_1,353599
IDN.4.3.3_1,127773
IDN.4.3.4_1,132659
IDN.4.3.5_1,231937
IDN.4.3.6_1,155266
IDN.4.3.7_1,144464
IDN.4.3.8_1,188111
IDN.4.3.9_1,105620
IDN.4.3.10_1,163580
IDN.4.3.11_1,139700
IDN.4.3.12_1,269379
IDN.4.3.13_1,205171
IDN.4.4.1_1,35989
IDN.4.4.2_1,97697
IDN.4.4.3_1,9946
IDN.4.4.4_1,77838
IDN.4.4.5_1,55170
IDN.4.4.6_1,8898
IDN.4.4.7_1,20796
IDN.4.4.8_1,19006
IDN.4.4.9_1,14058
IDN.4.4.10_1,16277
IDN.4.4.11_1,18401
IDN.4.4.12_1,33936
IDN.4.4.13_1,50070
IDN.4.4.14_1,7959
IDN.4.4.15_1,28322
IDN.4.4.16_1,17176
IDN.4.4.17_1,43126
IDN.4.4.18_1,15429
IDN.4.4.19_1,29434
IDN.4.4.20_1,29838
IDN.4.4.21_1,145316
IDN.4.4.22_1,23555
IDN.4.4.23_1,40974
IDN.4.4.24_1,174145
IDN.4.4.25_1,43365
